Instance,Executable,Alpha,Best Profit,Average Profit,Profit CV,Average Time,Time CV
500 Itens - Instancia 9,ils,0.75,2550,2218.8,0.139856230066929,111.01945958137512,0.0610513761530223
500 Itens - Instancia 2,tabu,,1862,1763.8,0.0370989674255171,19.4252911567688,0.1441755213897685
500 Itens - Instancia 2,grasp,0.5,2254,2225.4,0.0085760190082392,105.96983199119568,0.0987165873357092
500 Itens - Instancia 2,grasp,0.75,2254,2219.5,0.0072235994247324,100.46331870555878,0.1198012668085301
500 Itens - Instancia 2,ils,0.5,2376,2208.2,0.1061362805072758,125.50499167442322,0.1123605954040704
500 Itens - Instancia 2,ils,0.75,2532,2316.8,0.087623365298973,117.55954632759094,0.1207938027690962
1000 Itens - Instancia 6,tabu,,3742,3527.2,0.0417747085319765,167.23538131713866,0.1404603804856769
1000 Itens - Instancia 6,grasp,0.5,4304,4263.2,0.0061907541647449,1493.900598335266,0.1088028926417766
1000 Itens - Instancia 6,grasp,0.75,4304,4254.4,0.0074145013697413,1391.0004569530488,0.1133919663507437
1000 Itens - Instancia 6,ils,0.5,4731,4561.2,0.0296798267069313,1735.0820284843444,0.076096440114314
1000 Itens - Instancia 6,ils,0.75,4859,4448.2,0.1483630350551838,1764.8773191690443,0.0591096527724605
1000 Itens - Instancia 3,tabu,,3692,3551.0,0.0306239297726281,140.08049778938295,0.0872942288553713
1000 Itens - Instancia 3,grasp,0.5,4299,4246.6,0.0074712924496709,1404.1967307567595,0.1267092533508046
1000 Itens - Instancia 3,grasp,0.75,4315,4254.4,0.0072555722353077,1200.795794868469,0.2055777818094087
1000 Itens - Instancia 3,ils,0.5,4694,4577.4,0.0243783818872435,1099.2681740283963,0.0384793913596302
1000 Itens - Instancia 3,ils,0.75,4911,4306.3,0.2377786260163263,1091.34996137619,0.0736614302604492
1000 Itens - Instancia 5,tabu,,3755,3541.4,0.040954034155296,96.26626877784727,0.0948445123054838
1000 Itens - Instancia 5,grasp,0.5,4243,4202.0,0.0078526819509339,1090.9533425807954,0.0249964023637535
1000 Itens - Instancia 5,grasp,0.75,4260,4217.6,0.0073525988388129,975.3220542907716,0.1208246573359269
1000 Itens - Instancia 5,ils,0.5,4640,4508.6,0.0249550635045684,989.3661987781524,0.0353714601130812
1000 Itens - Instancia 5,ils,0.75,4867,4671.7,0.0391424371674,948.484824705124,0.0534895732435363
1000 Itens - Instancia 4,tabu,,3576,3460.2,0.0295354690849677,84.86421966552734,0.048580445638182
1000 Itens - Instancia 4,grasp,0.5,4280,4252.0,0.0043391185910625,1156.1182706832883,0.0356967236669051
1000 Itens - Instancia 4,grasp,0.75,4345,4274.5,0.0075772701734956,1052.4415074348449,0.1043785580929461
1000 Itens - Instancia 4,ils,0.5,4692,3639.4,0.3173292238422469,1253.9003469944,0.0489389994582835
1000 Itens - Instancia 4,ils,0.75,4871,4199.3,0.2361656254906623,1225.6621179103852,0.0784649902670426
1000 Itens - Instancia 7,tabu,,3644,3580.0,0.017877094972067,88.49051749706268,0.0534320756600514
1000 Itens - Instancia 7,grasp,0.5,4199,4184.5,0.0034651690763532,947.0777937173845,0.0017364165910728
1000 Itens - Instancia 7,grasp,0.75,4238,4196.5,0.0062333308040168,858.219810962677,0.1038216902947237
1000 Itens - Instancia 7,ils,0.5,4016,3950.5,0.0165801797240855,1062.477429151535,0.0505876065597815
1000 Itens - Instancia 7,ils,0.75,4091,3986.5,0.0190828990728259,1017.4142071604728,0.0691586820541644
1000 Itens - Instancia 8,tabu,,3452,3340.5,0.0333782367908995,75.89626204967499,0.0749834224565089
1000 Itens - Instancia 8,grasp,0.5,4318,4304.0,0.0032527881040892,973.8670035600662,0.0046988198475496
1000 Itens - Instancia 8,grasp,0.75,4318,4283.5,0.0079725464300358,887.3244932889938,0.0981560130327759
1000 Itens - Instancia 8,ils,0.5,3994,3942.5,0.0130627774254914,970.7916946411132,0.030309493039057
1000 Itens - Instancia 8,ils,0.75,4068,3873.25,0.0522583623803262,940.068675160408,0.04272381611107
1000 Itens - Instancia 10,tabu,,3699,3551.0,0.0416784004505773,78.73096096515656,0.0689825516236053
1000 Itens - Instancia 10,grasp,0.5,4261,4258.5,0.000587061171774,935.502471923828,0.0125696700318011
1000 Itens - Instancia 10,grasp,0.75,4267,4261.75,0.0009293705354464,859.1053842902184,0.0894557011085447
1000 Itens - Instancia 10,ils,0.5,4208,4165.0,0.0103241296518607,1024.0840389728546,0.113291207130266
1000 Itens - Instancia 10,ils,0.75,4208,4080.75,0.0298207316725722,984.7497188448906,0.0948482631630481
1000 Itens - Instancia 2,tabu,,3535,3467.0,0.0196134987020478,78.91046750545502,0.0134187849544216
1000 Itens - Instancia 2,grasp,0.5,4128,4125.0,0.0007272727272727,878.1374391317368,0.0195870631138167
1000 Itens - Instancia 2,grasp,0.75,4128,4117.0,0.0022590569878234,790.7922245264053,0.1125149840079826
1000 Itens - Instancia 2,ils,0.5,3843,3830.0,0.0033942558746736,909.7305512428284,0.0069063787260991
1000 Itens - Instancia 2,ils,0.75,3941,3850.0,0.0142384104661462,863.773918390274,0.0544948124369453
1000 Itens - Instancia 9,tabu,,3513,3505.5,0.0021394950791613,78.51849901676178,0.0257535201622235
1000 Itens - Instancia 9,grasp,0.5,4259,4241.5,0.0041258988565366,915.9886543750764,0.0146094712161879
1000 Itens - Instancia 9,grasp,0.75,4288,4252.25,0.0056694292852062,832.4990090727806,0.1011022418069435
1000 Itens - Instancia 9,ils,0.5,4205,4182.5,0.0053795576808129,1080.6601691246033,0.0231607602730596
800 Itens - Instancia 7,tabu,,3346,3346.0,0.0,51.60611133575439,0.1460216730052739
800 Itens - Instancia 7,grasp,0.5,3495,3461.4,0.0068867467302283,410.6360758304596,0.0496089940361737
800 Itens - Instancia 7,grasp,0.75,3495,3457.7,0.0063045700655772,374.3548478841782,0.1057465533347637
800 Itens - Instancia 7,ils,0.5,3812,3707.0,0.0179198568571189,386.3874277591705,0.0331903619763466
800 Itens - Instancia 7,ils,0.75,3915,3210.0,0.3402094523134329,380.9282538890839,0.0563220976119807
800 Itens - Instancia 3,tabu,,3209,3209.0,0.0,36.48795838356018,0.005314567748999
800 Itens - Instancia 3,grasp,0.5,3393,3375.8,0.002874461631781,361.7871166706085,0.020939699442306
800 Itens - Instancia 3,grasp,0.75,3406,3377.2,0.0048016230725155,325.97205820083616,0.1116041511027224
800 Itens - Instancia 3,ils,0.5,3674,3563.2,0.0172037974180008,368.67552947998047,0.0401787523259371
800 Itens - Instancia 3,ils,0.75,3925,3396.6,0.215475324735084,367.7665064334869,0.0609827348597022
800 Itens - Instancia 8,tabu,,3078,3078.0,0.0,34.38005051612854,0.0062691739052144
800 Itens - Instancia 8,grasp,0.5,3310,3287.8,0.0049881379645963,351.4066847324372,0.0082736022495653
800 Itens - Instancia 8,grasp,0.75,3351,3314.1,0.0088502762859999,310.787768816948,0.1327463801546892
800 Itens - Instancia 8,ils,0.5,3721,3613.6,0.0237613677872333,435.53577919006347,0.1041209117728247
800 Itens - Instancia 8,ils,0.75,3821,3033.7,0.3963199567669849,353.73267579078674,0.6070810692064321
800 Itens - Instancia 6,tabu,,2935,2821.5,0.0402268297005139,43.99814236164093,0.1092123033115064
800 Itens - Instancia 6,grasp,0.5,3584,3548.5,0.0100042271382274,464.1514136791229,0.0047983402291654
800 Itens - Instancia 6,grasp,0.75,3584,3550.0,0.007444831147269,407.07893174886703,0.140400234331401
800 Itens - Instancia 6,ils,0.5,3691,3682.0,0.0024443237370994,396.6476902961731,0.0557821120617076
800 Itens - Instancia 6,ils,0.75,3830,3735.25,0.016366385231162,411.865088224411,0.0533709640425697
800 Itens - Instancia 10,tabu,,2965,2926.5,0.0131556466769178,43.48909258842468,0.0652317139509439
800 Itens - Instancia 10,grasp,0.5,3445,3434.5,0.0030572135682049,419.6863906383514,0.0291735007849466
800 Itens - Instancia 10,grasp,0.75,3445,3422.5,0.0054838055161792,382.4648728966713,0.1008615351973746
800 Itens - Instancia 10,ils,0.5,3683,3668.5,0.0039525691699604,444.5690698623657,0.0688033944209521
800 Itens - Instancia 10,ils,0.75,3845,3748.75,0.0217911517489527,482.9248908162117,0.0916597283555165
800 Itens - Instancia 2,tabu,,2912,2869.0,0.0149878006273963,56.16757714748383,0.0356553556153871
800 Itens - Instancia 2,grasp,0.5,3456,3451.5,0.0013037809647979,492.9589793682098,0.0483887758671169
800 Itens - Instancia 2,grasp,0.75,3456,3452.75,0.0010715117360762,418.9886537194252,0.1832865183488625
800 Itens - Instancia 2,ils,0.5,3763,3761.5,0.0003987770836102,477.79548370838165,0.1181960467427256
800 Itens - Instancia 2,ils,0.75,3853,3785.75,0.0102769958523486,440.7763277292252,0.1235399690320549
800 Itens - Instancia 5,tabu,,2717,2639.5,0.0293616215192271,65.75970888137817,0.0158877282810897
800 Itens - Instancia 5,grasp,0.5,3324,3321.5,0.0007526719855486,616.0825892686844,0.0179363257993466
800 Itens - Instancia 5,grasp,0.75,3401,3343.75,0.0099669468593404,477.9216032028198,0.2898607036031478
800 Itens - Instancia 5,ils,0.5,3612,3568.5,0.0121899957965531,384.1406915187836,0.0138484823014887
800 Itens - Instancia 5,ils,0.75,3612,3524.5,0.0302902266104903,382.206730902195,0.0179526793752266
800 Itens - Instancia 4,tabu,,2822,2746.0,0.0276766205389657,38.96364295482636,0.0137144960365959
800 Itens - Instancia 4,grasp,0.5,3387,3354.0,0.0098389982110912,365.87221801280975,0.0304687136542794
800 Itens - Instancia 4,grasp,0.75,3387,3340.5,0.0080729151684848,332.5044335126877,0.1054851847769185
800 Itens - Instancia 4,ils,0.5,3764,3719.0,0.0121000268889486,402.29538667202,0.0149238849039998
800 Itens - Instancia 4,ils,0.75,3794,3687.5,0.0291153092938615,412.209198474884,0.0336874308951013
800 Itens - Instancia 9,tabu,,2737,2665.0,0.0270168855534709,39.90652060508728,0.0281977701778955
800 Itens - Instancia 9,grasp,0.5,3476,3467.5,0.002451333813987,406.4865359067917,0.0201469829897727
800 Itens - Instancia 9,grasp,0.75,3476,3466.5,0.0026162349844536,363.011304974556,0.1213690089986899
800 Itens - Instancia 9,ils,0.5,3761,3661.5,0.0271746551959579,387.9997112751007,0.0759962975558032
800 Itens - Instancia 9,ils,0.75,3871,3739.75,0.029869261253522,369.4409030675888,0.0880768506692104
800 Itens - Instancia 1,tabu,,2956,2837.0,0.0419457173070144,39.69704592227936,0.0645656278661813
800 Itens - Instancia 1,grasp,0.5,3434,3431.0,0.0008743806470416,412.97995948791504,0.0021302602257356
800 Itens - Instancia 1,grasp,0.75,3481,3453.25,0.0065696735519818,372.2185626029968,0.1135318393912133
800 Itens - Instancia 1,ils,0.5,3827,3757.0,0.0186318871439978,371.64028882980347,0.0099982348288382
800 Itens - Instancia 1,ils,0.75,3827,3726.5,0.0263641124521501,379.94356513023376,0.0280225207070006
